Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
The Deer Hunter,1978,183 min,"Drama, War",8.1,86,311361,"48,979,328"
Rocky,1976,120 min,"Drama, Sport",8.1,70,518546,"117,235,247"
Network,1976,121 min,Drama,8.1,83,144911,
Barry Lyndon,1975,185 min,"Adventure, Drama, History",8.1,89,149843,
Zerkalo,1975,107 min,"Biography, Drama",8.1,,40081,"177,345"
Chinatown,1974,130 min,"Drama, Mystery, Thriller",8.1,92,294230,"29,000,000"
Paper Moon,1973,102 min,"Comedy, Crime, Drama",8.1,77,42285,"30,933,743"
Viskningar och rop,1972,91 min,Drama,8.1,,30206,"1,742,348"
Solaris,1972,167 min,"Drama, Mystery, Sci-Fi",8.1,90,81021,
Le samouraï,1967,105 min,"Crime, Drama, Mystery",8.1,,45434,"39,481"
Cool Hand Luke,1967,127 min,"Crime, Drama",8.1,92,161984,"16,217,773"
Persona,1966,85 min,"Drama, Thriller",8.1,86,103191,
Andrei Rublev,1966,205 min,"Biography, Drama, History",8.1,,46947,"102,021"
La battaglia di Algeri,1966,121 min,"Drama, War",8.1,96,53089,"55,908"
El ángel exterminador,1962,95 min,"Drama, Fantasy",8.1,,29682,
What Ever Happened to Baby Jane?,1962,134 min,"Drama, Horror, Thriller",8.1,75,50058,"4,050,000"
Sanjuro,1962,96 min,"Action, Comedy, Crime",8.1,,33044,
The Man Who Shot Liberty Valance,1962,123 min,"Drama, Western",8.1,94,68827,
Ivanovo detstvo,1962,95 min,"Drama, War",8.1,,31728,
Jungfrukällan,1960,89 min,Drama,8.1,,26697,"1,526,000"
Inherit the Wind,1960,128 min,"Biography, Drama, History",8.1,75,27254,
Les quatre cents coups,1959,99 min,"Crime, Drama",8.1,,105291,
Ben-Hur,1959,212 min,"Adventure, Drama, History",8.1,90,219466,"74,700,000"
Kakushi-toride no san-akunin,1958,139 min,"Adventure, Drama",8.1,,34797,
Le notti di Cabiria,1957,110 min,Drama,8.1,,42940,"752,045"
Kumonosu-jô,1957,110 min,"Drama, History",8.1,,46678,
The Bridge on the River Kwai,1957,161 min,"Adventure, Drama, War",8.1,87,203463,"44,908,000"
On the Waterfront,1954,108 min,"Crime, Drama, Thriller",8.1,91,142107,"9,600,000"
Le salaire de la peur,1953,131 min,"Adventure, Drama, Thriller",8.1,85,54588,
Ace in the Hole,1951,111 min,"Drama, Film-Noir",8.1,72,31568,"3,969,893"
White Heat,1949,114 min,"Action, Crime, Drama",8.1,,29807,
The Third Man,1949,104 min,"Film-Noir, Mystery, Thriller",8.1,97,158731,"449,191"
The Red Shoes,1948,135 min,"Drama, Music, Romance",8.1,,30935,"10,900,000"
The Shop Around the Corner,1940,99 min,"Comedy, Drama, Romance",8.1,96,28450,"203,300"
Rebecca,1940,130 min,"Drama, Mystery, Romance",8.1,86,123942,"4,360,000"
Mr. Smith Goes to Washington,1939,129 min,"Comedy, Drama",8.1,73,107017,"9,600,000"
Gone with the Wind,1939,238 min,"Drama, History, Romance",8.1,97,290074,"198,676,459"
La Grande Illusion,1937,113 min,"Drama, War",8.1,,33829,"172,885"
It Happened One Night,1934,105 min,"Comedy, Romance",8.1,87,94016,"4,360,000"
La passion de Jeanne d'Arc,1928,110 min,"Biography, Drama, History",8.1,,47676,"21,877"
The Circus,1928,72 min,"Comedy, Romance",8.1,90,30205,
Sunrise: A Song of Two Humans,1927,94 min,"Drama, Romance",8.1,,46865,"539,540"
The General,1926,67 min,"Action, Adventure, Comedy",8.1,,81156,"1,033,895"
